antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric,connection,Line_X,Line_Y,dummy
Bread,Butter,0.1503267973856209,0.16339869281045752,0.05228758169934641,0.3478260869565218,2.128695652173913,0.02772437951215345,1.282788671023965,0.6240384615384615,T-3,9,86,1
Cereal,Bread,0.20261437908496732,0.1503267973856209,0.0392156862745098,0.1935483870967742,1.2875175315568024,0.008757315562390535,1.05359477124183,0.2800546448087432,T-184,34,129,1
Bread,Cereal,0.1503267973856209,0.20261437908496732,0.0392156862745098,0.2608695652173913,1.2875175315568022,0.008757315562390535,1.0788158400615149,0.2628205128205129,T-184,9,86,1
Cheese,Bread,0.1830065359477124,0.1503267973856209,0.0392156862745098,0.2142857142857143,1.4254658385093169,0.01170489982485369,1.0814022578728462,0.3653333333333334,T-33,10,151,1
Bread,Cheese,0.1503267973856209,0.1830065359477124,0.0392156862745098,0.2608695652173913,1.4254658385093169,0.01170489982485369,1.1053440984236833,0.3512820512820513,T-33,9,86,1
Chicken,Bread,0.13071895424836602,0.1503267973856209,0.0392156862745098,0.3,1.9956521739130435,0.019565124524755437,1.2138188608776845,0.5739348370927319,T-54,13,166,1
Bread,Chicken,0.1503267973856209,0.13071895424836602,0.0392156862745098,0.2608695652173913,1.9956521739130433,0.019565124524755437,1.176086120722799,0.5871794871794872,T-54,9,86,1
Coffee,Bread,0.21568627450980393,0.1503267973856209,0.0718954248366013,0.3333333333333333,2.217391304347826,0.03947199794950659,1.2745098039215685,0.7,T-81,68,186,1
Bread,Coffee,0.1503267973856209,0.21568627450980393,0.0718954248366013,0.47826086956521735,2.2173913043478257,0.03947199794950659,1.503267973856209,0.6461538461538461,T-81,9,86,1
Juice,Bread,0.1503267973856209,0.1503267973856209,0.032679738562091505,0.2173913043478261,1.4461247637051042,0.010081592549873983,1.0856935366739289,0.3630769230769232,T-181,42,214,1
Bread,Juice,0.1503267973856209,0.1503267973856209,0.032679738562091505,0.2173913043478261,1.4461247637051042,0.010081592549873983,1.0856935366739289,0.3630769230769232,T-181,9,86,1
Milk,Bread,0.1568627450980392,0.1503267973856209,0.0392156862745098,0.25,1.6630434782608696,0.015635012174804563,1.1328976034858387,0.47286821705426363,T-160,14,229,1
Bread,Milk,0.1503267973856209,0.1568627450980392,0.0392156862745098,0.2608695652173913,1.6630434782608696,0.015635012174804563,1.140715109573241,0.4692307692307693,T-160,9,86,1
